# Satellite Name: OBS_112
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 31
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,-6211.743318682192,4513.095692933481,0.0011998125119856411,-2.1175318166335617,-2.914530850312095,-6.2398125939730384
22 Jul 2025 00:00:30.000000000,-6328.88479334863,4331.1646321931985,-374.1897808976621,-1.7861524225650038,-3.148235701564897,-6.229924860745774
22 Jul 2025 00:01:30.000000000,-6425.968381794608,4135.5069813971995,-747.1948566204311,-1.4491122457383139,-3.371962972951098,-6.200292871153665
22 Jul 2025 00:02:30.000000000,-6502.686400838601,3926.7428306246975,-1117.8318770080043,-1.1074794543422728,-3.585003614421506,-6.151010536698451
22 Jul 2025 00:03:30.000000000,-6558.795711073608,3705.533807905816,-1484.9261966974934,-0.7623367717751659,-3.786682444631952,-6.082234045948618
22 Jul 2025 00:04:30.000000000,-6594.11848746496,3472.5809823143713,-1847.3143980682987,-0.41477804519529704,-3.9763602907808404,-5.994181369537143
22 Jul 2025 00:05:30.000000000,-6608.542782923142,3228.622642099187,-2203.847978415916,-0.06590477883530735,-4.153436014314287,-5.88713156935571
22 Jul 2025 00:06:30.000000000,-6602.022883095056,2974.4319548529147,-2553.3969898564774,0.2831773569538632,-4.317348416091166,-5.761423914134823
22 Jul 2025 00:07:30.000000000,-6574.579451243271,2710.8145171449464,-2894.853620426245,0.6313620298590825,-4.4675780149693285,-5.617456804212722
22 Jul 2025 00:08:30.000000000,-6526.29946275943,2438.605801374539,-3227.1357050265856,0.9775457518613904,-4.603648694176834,-5.455686508900833
22 Jul 2025 00:09:30.000000000,-6457.335929515986,2158.668507942345,-3549.190155087345,1.3206313764762918,-4.72512921025032,-5.276625720447342
22 Jul 2025 00:10:30.000000000,-6367.907414932602,1871.8898311254436,-3859.996296079128,1.6595315758987759,-4.831634559757624,-5.080841929181774
22 Jul 2025 00:11:30.000000000,-6258.297341290738,1579.1786473299342,-4158.569102297028,1.9931722870268105,-4.922827199474488,-4.868955624990165
22 Jul 2025 00:12:30.000000000,-6128.853091495161,1281.4626346227615,-4443.9623186639365,2.32049611544872,-4.998418116146668,-4.6416383308208164
22 Jul 2025 00:13:30.000000000,-5979.984908126577,979.6853326792608,-4715.271459659613,2.6404656866008627,-5.058167742448643,-4.399610474452969
22 Jul 2025 00:14:30.000000000,-5812.164593276174,674.8031524589567,-4971.636675871166,2.95206693347886,-5.101886716234627,-4.143639105273319
22 Jul 2025 00:15:30.000000000,-5625.924013281607,367.7823450903753,-5212.245479080034,3.254312310479926,-5.129436480676755,-3.8745354632964917
22 Jul 2025 00:16:30.000000000,-5421.853413103951,59.59593956889604,-5436.335317249015,3.546243923192731,-5.140729723387621,-3.593152408133909
22 Jul 2025 00:17:30.000000000,-5200.59954568748,-248.77934102488533,-5643.195991248525,3.8269365642136512,-5.135730653136613,-3.30038171605929
22 Jul 2025 00:18:30.000000000,-4962.863622230994,-556.3661750167681,-5832.1719056628035,4.095500645371651,-5.114455113280726,-2.997151253737107
22 Jul 2025 00:19:30.000000000,-4709.399089866639,-862.1897395251644,-6002.664146542756,4.351085017064249,-5.076970531553448,-2.6844220375711783
22 Jul 2025 00:20:30.000000000,-4441.009243789466,-1165.2807999293589,-6154.13237952041,4.592879665772877,-5.023395706368445,-2.3631851879930945
22 Jul 2025 00:21:30.000000000,-4158.544681405601,-1464.678781626365,-6286.096562269446,4.820118281206528,-4.953900430316789,-2.034458788343134
22 Jul 2025 00:22:30.000000000,-3862.900606567087,-1759.4348143429809,-6398.138465884477,5.032080684939609,-4.868704952049291,-1.699284658298686
22 Jul 2025 00:23:30.000000000,-3555.013992437681,-2048.614739352383,-6489.903000357519,5.22809511284433,-4.768079278251891,-1.358725052076035
22 Jul 2025 00:24:30.000000000,-3235.8606119803453,-2331.302070067316,-6561.099339950821,5.407540344087115,-4.65234231792335,-1.0138592918697613
22 Jul 2025 00:25:30.000000000,-2906.4519454783713,-2606.6008966248114,-6611.501844899446,5.56984766993912,-4.521860871669739,-0.6657803471992678
22 Jul 2025 00:26:30.000000000,-2567.831974890806,-2873.6387252579457,-6640.950776522543,5.71450269616214,-4.377048469218121,-0.31559137100337586
22 Jul 2025 00:27:30.000000000,-2221.07387520107,-3131.5692434565226,-6649.352803476857,5.841046973258733,-4.218364058832221,0.03559779653898868
22 Jul 2025 00:28:30.000000000,-1867.2766132458153,-3379.575002151812,-6636.6812975481125,5.9490794494177885,-4.04631055278622,0.38667414538171785
22 Jul 2025 00:29:02.000000000,-1676.0928655400783,-3507.513886093852,-6621.317605712139,5.999006885375281,-3.9492688269768346,0.5734844385594279
