# Satellite Name: OBS_019
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 31
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,2256.5463109461743,-3105.8720055214803,-6649.462055132144,5.8290610488780334,4.2350607514215595,-1.5675549599583837e-06
22 Jul 2025 00:00:30.000000000,2602.529424394982,-2846.980935599159,-6638.925209569865,5.700662570050277,4.3923617082227215,0.3511369623771009
22 Jul 2025 00:01:30.000000000,2940.2644434593235,-2579.0670407415078,-6607.347878888979,5.554197205088232,4.535742125410204,0.7011626477146833
22 Jul 2025 00:02:30.000000000,3268.680997815219,-2302.9794099283226,-6554.830139884398,5.390129140901257,4.664747593087458,1.0489661657902485
22 Jul 2025 00:03:30.000000000,3586.7382497657654,-2019.5930368527834,-6481.538434965265,5.208978351966334,4.77896925928855,1.3934452365636913
22 Jul 2025 00:04:30.000000000,3893.428192944783,-1729.8060468251667,-6387.705044655619,5.011318952369163,4.878045125769786,1.733508116035276
22 Jul 2025 00:05:30.000000000,4187.778846951265,-1434.536850380713,-6273.627351436832,4.797777376288394,4.961661195275025,2.0680770562670387
22 Jul 2025 00:06:30.000000000,4468.8573378096235,-1134.721232595292,-6139.66689726499,4.569030392660029,5.029552466677295,2.39609172104704
22 Jul 2025 00:07:30.000000000,4735.772854489805,-831.3093873400009,-5986.2482377501565,4.325802960322082,5.081503774834456,2.7165125463713067
22 Jul 2025 00:08:30.000000000,4987.679472120051,-525.2629058682331,-5813.857596628946,4.068865930430067,5.117350472504599,3.0283240350932226
22 Jul 2025 00:09:30.000000000,5223.778832943245,-217.55172928330157,-5623.041324794704,3.799033603429757,5.13697895215515,3.330537975298791
22 Jul 2025 00:10:30.000000000,5443.322676521013,90.84892545969231,-5414.404168769076,3.5171611483248464,5.14032700601632,3.6221965722078684
22 Jul 2025 00:11:30.000000000,5645.615211166001,398.96165626868054,-5188.607354102586,3.224141892425408,5.127384023232147,3.9023754836755677
22 Jul 2025 00:12:30.000000000,5830.0153190872215,705.8099735581942,-4946.366489778444,2.9209044901592613,5.098191023490147,4.170186749673549
22 Jul 2025 00:13:30.000000000,5995.9385882595325,1010.4213949984268,-4688.449300261092,2.6084099799249207,5.052840527018569,4.4247816064668815
22 Jul 2025 00:14:30.000000000,6142.859164577685,1311.8305275661708,-4415.673192377171,2.2876487383095614,4.991476261366143,4.665353176567646
22 Jul 2025 00:15:30.000000000,6270.311418425124,1609.082127126541,-4128.902664740164,1.9596373413277954,4.914292705891712,4.891139025940085
22 Jul 2025 00:16:30.000000000,6377.891420375573,1901.2341258511342,-3829.046567928849,1.6254153426268918,4.8215344754085985,5.10142358035287
22 Jul 2025 00:17:30.000000000,6465.25822135104,2187.3606178754826,-3517.0552241028518,1.2860419788710622,4.71349554493616,5.295540393220437
22 Jul 2025 00:18:30.000000000,6532.134933177871,2466.5547937378874,-3193.9174151838924,0.9425928127429555,4.590518318016778,5.472874257745982
22 Jul 2025 00:19:30.000000000,6578.309606117888,2737.9318142939032,-2860.6572491480692,0.5961563242059458,4.452992541549405,5.632863156672233
22 Jul 2025 00:20:30.000000000,6603.635900592221,3000.6316150027583,-2518.330914360633,0.24783046082699603,4.301354070580136,5.775000043460682
22 Jul 2025 00:21:30.000000000,6608.033550969863,3253.8216316955786,-2168.0233322396493,-0.10128084190513126,4.136083486963844,5.898834449254267
22 Jul 2025 00:22:30.000000000,6591.488619949925,3496.6994391893086,-1810.8447188571326,-0.45007115923990665,3.9577045762750562,6.003973910530659
22 Jul 2025 00:23:30.000000000,6554.053542733119,3728.4952943802505,-1447.9270663748111,-0.7974350837128868,3.7667826677948444,6.0900852129214975
22 Jul 2025 00:24:30.000000000,6495.846960840446,3948.4745757616165,-1080.4205554658101,-1.1422717284707862,3.5639228428349132,6.156895447255604
22 Jul 2025 00:25:30.000000000,6417.0533461074465,4155.9401116302915,-709.4899100921616,-1.48348821626875,3.3497680170771247,6.20419287447931
22 Jul 2025 00:26:30.000000000,6317.922416045192,4350.234389605235,-336.3107061908861,-1.8200031430830468,3.1249969030061884,6.231827596712739
22 Jul 2025 00:27:30.000000000,6198.768342419793,4530.741640456591,37.93435403271014,-2.1507500053629056,2.890321858892636,6.239712032315257
22 Jul 2025 00:28:30.000000000,6059.968755560526,4696.889789638329,412.05919039670397,-2.4746805800580307,2.6464866311438167,6.227821193454545
22 Jul 2025 00:29:02.000000000,5978.058895068263,4779.447161945435,611.1337529836641,-2.6443010100411573,2.512961406328858,6.213404012164177
