# Satellite Name: OBS_100
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 31
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,3651.1726495537873,1186.3377562325745,6649.460790324013,-2.2265031991929205,6.852472238817503,1.570943072561349e-07
22 Jul 2025 00:00:30.000000000,3511.867269649707,1595.3889880725642,6638.923862183458,-2.415782699969414,6.778966596606212,-0.3511383038157058
22 Jul 2025 00:01:30.000000000,3361.431866639545,1999.3840161842227,6607.346453194068,-2.5974059554053004,6.683976641616405,-0.7011639158800674
22 Jul 2025 00:02:30.000000000,3200.343209535484,2397.042475000257,6554.828640398906,-2.7707973540833644,6.567803421772025,-1.0489673566632813
22 Jul 2025 00:03:30.000000000,3029.11183029651,2787.104081173366,6481.536866440975,-2.9354073734484714,6.430815120299513,-1.393446346370179
22 Jul 2025 00:04:30.000000000,2848.280405812579,3168.3326277634333,6387.703412063118,-3.0907143214268578,6.273445888846341,-1.733509141257918
22 Jul 2025 00:05:30.000000000,2658.4220380209563,3539.5199020987934,6273.62565994976,-3.2362259898024077,6.0961944715422005,-2.068077993656583
22 Jul 2025 00:06:30.000000000,2460.138437595272,3899.4895149186336,6139.665152243641,-3.3714812141559247,5.8996226243473,-2.3960925676325706
22 Jul 2025 00:07:30.000000000,2254.0580169686746,4247.100628656156,5986.246444724497,-3.496051335412893,5.684353334702462,-2.716513299469665
22 Jul 2025 00:08:30.000000000,2040.8338987303332,4581.251573050848,5813.855761281087,-3.609541558377062,5.451068847118866,-3.0283246923175127
22 Jul 2025 00:09:30.000000000,1821.1418457105904,4900.883336628307,5623.039452940894,-3.711592202938165,5.20050850096804,-3.3305385345659446
22 Jul 2025 00:10:30.000000000,1595.6781193106415,5204.982922984544,5414.402266341274,-3.8018798439940213,4.933466387321276,-3.6221970317452423
22 Jul 2025 00:11:30.000000000,1365.1572728704525,5492.586561234934,5188.605427129657,-3.8801183364668743,4.650788832269412,-3.902375842026568
22 Jul 2025 00:12:30.000000000,1130.3098870615127,5762.782760455966,4946.364544367056,-3.946059722173241,4.35337171469369,-4.170187005702246
22 Jul 2025 00:13:30.000000000,891.8802544872029,6014.7151984373695,4688.447342576363,-3.999495015667111,4.042157626992743,-4.424781759361609
22 Jul 2025 00:14:30.000000000,650.6240208246345,6247.585435590685,4415.671228623133,-4.040254866570014,3.7181328877608912,-4.665353225843576
22 Jul 2025 00:15:30.000000000,407.3057899869295,6460.6554454124,4128.900701140101,-4.068210096286122,3.382324415887679,-4.891138971440764
22 Jul 2025 00:16:30.000000000,162.6967008936387,6653.249953482424,3829.044610705575,-4.083272107403149,3.0357964759838723,-5.101423422250718
22 Jul 2025 00:17:30.000000000,-82.42801646838846,6824.7585775847665,3517.053279458988,-4.085393164480088,2.6796473054501235,-5.2955401320162
22 Jul 2025 00:18:30.000000000,-327.29149795275634,6974.637762168012,3193.915489282213,-4.07456654533414,2.3150056338751788,-5.472873894267149
22 Jul 2025 00:19:30.000000000,-571.1177073373863,7102.41250101453,2860.655348091973,-4.050826562344473,1.9430271057982273,-5.63286269207041
22 Jul 2025 00:20:30.000000000,-813.133895786103,7207.677842659062,2518.3290441747954,-4.014248453707514,1.5648906181697502,-5.774999479207943
22 Jul 2025 00:21:30.000000000,-1052.573050890605,7290.100173785541,2168.0214988509333,-3.9649481449873685,1.181794584120013,-5.898833787138497
22 Jul 2025 00:22:30.000000000,-1288.6763275338312,7349.418276534597,1810.8429280758048,-3.9030818817177066,0.794953134874785,-6.003973152649884
22 Jul 2025 00:23:30.000000000,-1520.6954528668025,7385.444156371197,1447.9253238761287,-3.828845734218695,0.4055922718575451,-6.090084361677236
22 Jul 2025 00:24:30.000000000,-1747.8950977814447,7398.063637888204,1080.4188667720339,-3.74247497619919,0.014945981170735043,-6.1568945053452575
22 Jul 2025 00:25:30.000000000,-1969.5552073598826,7387.236726658052,709.4882805550568,-3.6442433391129128,-0.37574767722776437,-6.204191844887616
22 Jul 2025 00:26:30.000000000,-2184.973282915644,7352.997735985687,336.30914097475943,-3.5344621446321383,-0.7652504932591702,-6.2318264827023135
22 Jul 2025 00:27:30.000000000,-2393.466608396235,7295.455178160474,-37.93584996737571,-3.413479317988118,-1.1523280309349386,-6.239710837416257
22 Jul 2025 00:28:30.000000000,-2594.374414087636,7214.791420552638,-412.0606123089707,-3.281678285305302,-1.5357535406059561,-6.227819921453479
22 Jul 2025 00:29:02.000000000,-2698.2027302194288,7162.402087703184,-611.1351335592099,-3.207103841967039,-1.7383337153331453,-6.213402700675146
