# Satellite Name: OBS_036
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 31
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,-3880.3814553182,-5730.844998156436,3324.7320432024244,1.8539546717488204,-4.390340566789439,-5.403836975935212
22 Jul 2025 00:00:30.000000000,-3763.0539675179602,-5985.045005066988,2995.40463304026,2.0559283668907686,-4.080754436375984,-5.570843209065614
22 Jul 2025 00:01:30.000000000,-3633.8003804933637,-6220.2768437076265,2656.584004531001,2.251386288921008,-3.7582353310891037,-5.720193987444215
22 Jul 2025 00:02:30.000000000,-3493.030332533057,-6435.795003065699,2309.3439685953085,2.4397089807426386,-3.4238053980612793,-5.851415979510519
22 Jul 2025 00:03:30.000000000,-3341.1899606255697,-6630.916449896809,1954.7850194514479,2.6202995986392064,-3.0785245329544195,-5.964093308554946
22 Jul 2025 00:04:30.000000000,-3178.7604865020967,-6805.022793457353,1594.0308468620824,2.7925858038529565,-2.7234870208633875,-6.057868870740642
22 Jul 2025 00:05:30.000000000,-3006.2566915213943,-6957.562245345081,1228.22477486841,2.9560215764747215,-2.3598180682420447,-6.132445466858647
22 Jul 2025 00:06:30.000000000,-2824.225285190159,-7088.051368261973,858.5261382981394,3.110088945924772,-1.9886702368292484,-6.187586744229687
22 Jul 2025 00:07:30.000000000,-2633.2431725006973,-7196.076608151818,486.10660853112796,3.2542996325355023,-1.6112197908812527,-6.223117945767439
22 Jul 2025 00:08:30.000000000,-2433.915625567259,-7281.295604861447,112.14648016726257,3.388196595037509,-1.2286629692830133,-6.238926463829315
22 Jul 2025 00:09:30.000000000,-2226.874365362432,-7343.4382771687715,-262.16906963490266,3.511355479042244,-0.8422121943559451,-6.2349621970994376
22 Jul 2025 00:10:30.000000000,-2012.775559625935,-7382.307678741532,-635.6537372935965,3.6233859619321924,-0.4530922293741762,-6.2112377093727735
22 Jul 2025 00:11:30.000000000,-1792.29774330086,-7397.78062231063,-1007.123852509219,3.723932989894565,-0.0625362969717344,-6.167828189737202
22 Jul 2025 00:12:30.000000000,-1566.1396680774087,-7389.808070083331,-1375.4021296241629,3.8126779031796723,0.32821782926255133,-6.104871214279671
22 Jul 2025 00:13:30.000000000,-1335.0180878680148,-7358.415289156446,-1739.3213987480483,3.8893394460166815,0.7179317476115967,-6.022566310071719
22 Jul 2025 00:14:30.000000000,-1099.6654872261977,-7303.701771438584,-2097.728304823452,3.9536746579865056,1.1053703530485934,-5.921174322816159
22 Jul 2025 00:15:30.000000000,-860.8277599126365,-7225.8409183341755,-2449.4869629088257,4.005479644026713,1.4893057516065642,-5.801016590159016
22 Jul 2025 00:16:30.000000000,-619.2618449628826,-7125.079491189301,-2793.482558094059,4.044590220628077,1.8685211518947895,-5.6624739232867425
22 Jul 2025 00:17:30.000000000,-375.7333277514578,-7001.736829240513,-3128.6248786396254,4.07088243617524,2.2418147214272843,-5.505985400036285
22 Jul 2025 00:18:30.000000000,-131.01401365023008,-6856.203837545708,-3453.8517711418626,4.084272963781251,2.60800339554442,-5.3320469733429
22 Jul 2025 00:19:30.000000000,114.1205180227506,-6688.941748103936,-3768.132506774072,4.084719365372486,2.965926626852583,-5.141209899436
22 Jul 2025 00:20:30.000000000,358.89337201681195,-6500.480658090975,-4070.4710479349337,4.0722202261858325,3.314450063301759,-4.934078990764421
22 Jul 2025 00:21:30.000000000,602.5287993317502,-6291.417849843147,-4359.909204951392,4.046815159252711,3.6524691432426306,-4.711310699188047
22 Jul 2025 00:22:30.000000000,844.2546557696354,-6062.415897913832,-4635.529672831565,4.008584679854574,3.978912596071048,-4.473611035510713
22 Jul 2025 00:23:30.000000000,1083.3048490600559,-5814.200569202001,-4896.458938443485,3.9576499503495643,4.29274583736324,-4.221733331947857
22 Jul 2025 00:24:30.000000000,1318.9217668071783,-5547.558522807588,-5141.870048905957,3.8941723961768706,4.5929742477442055,-3.956475854620312
22 Jul 2025 00:25:30.000000000,1550.3586775606277,-5263.334816903674,-5370.9852324178855,3.818353194257607,4.87864632509565,-3.6786792736407925
22 Jul 2025 00:26:30.000000000,1776.882097401757,-4962.430230526942,-5583.078363219922,3.7304326354130706,5.148856700113988,-3.3892239988111252
22 Jul 2025 00:27:30.000000000,1997.7741145462196,-4645.798408773798,-5777.477262876324,3.6306893628198167,5.402749005662322,-3.0890273893739977
22 Jul 2025 00:28:30.000000000,2212.334664593097,-4314.442840450534,-5953.565830583702,3.5194394889171976,5.639518590820808,-2.77904084666232
22 Jul 2025 00:29:02.000000000,2323.9424287487554,-4132.060309016228,-6039.797759965398,3.455521603576907,5.758533062098076,-2.6100497504295794
