# Satellite Name: OBS_035
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 31
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,-4348.34301609922,-2623.772479966411,5758.603891437669,-0.21509099165354628,-6.491041000075194,-3.1199062294295286
22 Jul 2025 00:00:30.000000000,-4354.351141632904,-3008.871490662808,5562.383147429328,0.01487304932515669,-6.342201394179799,-3.4190572601008675
22 Jul 2025 00:01:30.000000000,-4346.559192996745,-3384.434603004339,5348.533760810653,0.24478995369615383,-6.173261698307758,-3.707372406780405
22 Jul 2025 00:02:30.000000000,-4324.991864893048,-3749.2715595826444,5117.7334760499825,0.4739310548739416,-5.984757326408207,-3.9839379235889463
22 Jul 2025 00:03:30.000000000,-4289.717509808415,-4102.226096949382,4870.713759431929,0.7015701449591861,-5.77728569798906,-4.247877302288035
22 Jul 2025 00:04:30.000000000,-4240.8479213717665,-4442.179610141434,4608.257480849947,0.9269857763178491,-5.551504344739861,-4.498354050163208
22 Jul 2025 00:05:30.000000000,-4178.537980052485,-4768.054697830431,4331.196432687511,1.1494635480351427,-5.308128826642686,-4.734574341087517
22 Jul 2025 00:06:30.000000000,-4102.985162301751,-5078.81857689058,4040.4086936511517,1.3682983700410405,-5.0479304641755425,-4.955789531363536
22 Jul 2025 00:07:30.000000000,-4014.4289146998326,-5373.486355555976,3736.815845910073,1.5827966977223265,-4.771733893796989,-5.161298532370432
22 Jul 2025 00:08:30.000000000,-3913.149895086583,-5651.124154800264,3421.3800543619604,1.7922787299473641,-4.480414454457974,-5.3504500324966315
22 Jul 2025 00:09:30.000000000,-3799.4690830847326,-5910.8520680419,3095.101017281516,1.9960805635321521,-4.17489541342479,-5.522644561316138
22 Jul 2025 00:10:30.000000000,-3673.7467628296654,-6151.846949799032,2759.0127980159623,2.1935562973243012,-3.8561450402037223,-5.677336389466633
22 Jul 2025 00:11:30.000000000,-3536.381381137322,-6373.34502445064,2414.180547768655,2.384080079230465,-3.5251735378432234,-5.8140352582081265
22 Jul 2025 00:12:30.000000000,-3387.8082847206592,-6574.644306841683,2061.6971298571743,2.567048089706006,-3.183029841336468,-5.932307933180743
22 Jul 2025 00:13:30.000000000,-3228.4983404636,-6755.10682705643,1702.679656144502,2.7418804554158513,-2.8307982932732934,-6.031779577437364
22 Jul 2025 00:14:30.000000000,-3058.9564431201466,-6914.160652311988,1338.2659466202444,2.9080230870048185,-2.4695952072754057,-6.112134939399669
22 Jul 2025 00:15:30.000000000,-2879.7199151717887,-7051.301699562124,969.6109233523789,3.0649494351509623,-2.1005653301076457,-6.173119351972588
22 Jul 2025 00:16:30.000000000,-2691.3568039120073,-7166.095333068078,597.8829502380863,3.212162159337834,-1.724878213676804,-6.214539539650714
22 Jul 2025 00:17:30.000000000,-2494.4640811575537,-7258.177741872068,224.2601301538908,3.349194704055932,-1.3437245084172265,-6.236264231058805
22 Jul 2025 00:18:30.000000000,-2289.6657512871743,-7327.257092809825,-150.07342875954933,3.4756127774392893,-0.9583121898082676,-6.23822457498498
22 Jul 2025 00:19:30.000000000,-2077.610873610319,-7373.1144554054645,-523.9313658448888,3.5910157276492725,-0.5698627299855826,-6.220414358588169
22 Jul 2025 00:20:30.000000000,-1858.9715053284558,-7395.604495719456,-896.128827814384,3.6950378126448267,-0.1796072265772053,-6.182890027088229
22 Jul 2025 00:21:30.000000000,-1634.4405716111776,-7394.655936949578,-1265.4862238589062,3.787349359314363,0.21121749896554587,-6.125770504876325
22 Jul 2025 00:22:30.000000000,-1404.729669534576,-7370.271785325979,-1630.8329640788031,3.8676578082958337,0.6013728211782928,-6.049236818612516
22 Jul 2025 00:23:30.000000000,-1170.5668128457949,-7322.5293205833705,-1991.011169388526,3.935708641173642,0.9896222361100365,-5.953531523505072
22 Jul 2025 00:24:30.000000000,-932.6941246965546,-7251.579851041607,-2344.879341137381,3.991286187113836,1.3747352801271633,-5.838957934589775
22 Jul 2025 00:25:30.000000000,-691.8654856617948,-7157.648234070078,-2691.3159788163907,4.034214306381195,1.7554914295733401,-5.705879165445476
22 Jul 2025 00:26:30.000000000,-448.844144496102,-7041.0321634560105,-3029.2231343858557,4.064356948572132,2.1306839689269177,-5.554716977392475
22 Jul 2025 00:27:30.000000000,-204.40029919837244,-6902.1012259353665,-3357.5298919589786,4.0816185837936825,2.4991238151976454,-5.38595044282093
22 Jul 2025 00:28:30.000000000,40.69134394581784,-6741.295729876002,-3675.195761813564,4.085944505422779,2.859643286440354,-5.200114426885523
22 Jul 2025 00:29:02.000000000,171.40357440401593,-6646.761755134899,-3839.9175480635645,4.082956006617789,3.0482861549518376,-5.094223595930353
