# Satellite Name: OBS_047
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 31
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,3880.3814566979468,-5730.845343945855,-3324.7314455543387,1.8539546706918102,4.390340003690127,-5.403837433787133
22 Jul 2025 00:00:30.000000000,3985.411003770838,-5458.4828281116725,-3643.521941336613,1.6461053096934848,4.686012019196636,-5.21970506303991
22 Jul 2025 00:01:30.000000000,4077.8097441269906,-5168.820956893147,-3950.76516602217,1.4330390117638658,4.966832840705326,-5.019030085886594
22 Jul 2025 00:02:30.000000000,4157.2848420968785,-4862.777744269029,-4245.487385717019,1.2154310395344978,5.23191247381799,-4.802448493656613
22 Jul 2025 00:03:30.000000000,4223.58442037144,-4541.323120982343,-4526.754548856812,0.9939710494117279,5.48041081205657,-4.570646689890357
22 Jul 2025 00:04:30.000000000,4276.498358299478,-4205.475860554731,-4793.675246459894,0.7693609058505729,5.711540299390182,-4.324359314947313
22 Jul 2025 00:05:30.000000000,4315.85895781348,-3856.30035052883,-5045.4035372347935,0.5423124569649588,5.9245684262052905,-4.064366917739206
22 Jul 2025 00:06:30.000000000,4341.541474910622,-3494.903219144511,-5281.141628588772,0.31354527849268976,6.118820050820084,-3.7914934819669583
22 Jul 2025 00:07:30.000000000,4353.464514997297,-3122.4298281471324,-5500.142405040565,0.08378439327453016,6.293679539184162,-3.5066038147014975
22 Jul 2025 00:08:30.000000000,4351.590290850606,-2740.0606428366873,-5701.711796024168,-0.14624202653335308,6.448592715983509,-3.2106008055846385
22 Jul 2025 00:09:30.000000000,4335.924742375267,-2349.0074908663737,-5885.210975579437,-0.37580496722545836,6.583068620966551,-2.9044225653363727
22 Jul 2025 00:10:30.000000000,4306.517517779558,-1950.5097216431595,-6050.058386958126,-0.6041768839838788,6.696681064925185,-2.589039452637388
22 Jul 2025 00:11:30.000000000,4263.461816226131,-1545.8302785080732,-6195.731585728875,-0.8306340066549688,6.789069980399585,-2.2654509988093756
22 Jul 2025 00:12:30.000000000,4206.894092460257,-1136.251696138195,-6321.768895539847,-1.0544586335675565,6.859942562825753,-1.9346827400396498
22 Jul 2025 00:13:30.000000000,4136.993624348774,-723.0720358606885,-6427.770871291453,-1.2749414061153859,6.909074198509691,-1.5977829671895476
22 Jul 2025 00:14:30.000000000,4053.98194470203,-307.6007717573176,-6513.401565082048,-1.4913835569005243,6.936309176486606,-1.2558194034873473
22 Jul 2025 00:15:30.000000000,3958.1221391784907,108.84535939998752,-6578.389590914421,-1.70309912430887,6.941561182009643,-0.9098758206349421
22 Jul 2025 00:16:30.000000000,3849.7180124977135,524.946531231571,-6622.528984788788,-1.909417126501826,6.924813570103733,-0.561048604052725
22 Jul 2025 00:17:30.000000000,3729.113125604041,939.3840106233108,-6645.679857456415,-2.1096836879314753,6.886119418318192,-0.21044327814829472
22 Jul 2025 00:18:30.000000000,3596.6897068323037,1350.8443371367737,-6647.7688377651275,-2.3032641116445554,6.825601358509623,0.14082899737865717
22 Jul 2025 00:19:30.000000000,3452.867440526589,1758.0234857071198,-6628.789305191604,-2.4895448908013553,6.743451188189909,0.4916549490911741
22 Jul 2025 00:20:30.000000000,3298.102136951078,2159.630999438812,-6588.80141082357,-2.6679356530393044,6.63992926266977,0.840922718068846
22 Jul 2025 00:21:30.000000000,3132.8842877086345,2554.3940793997494,-6527.9318867253,-2.8378710315164044,6.515363669925089,1.1875253836786588
22 Jul 2025 00:22:30.000000000,2957.737511244706,2941.0616184534315,-6446.37364429065,-2.9988124567071184,6.370149190800198,1.5303644716951015
22 Jul 2025 00:23:30.000000000,2773.216893364334,3318.4081663431803,-6344.385162856573,-3.1502498632685483,6.204746047844894,1.8683534356514304
22 Jul 2025 00:24:30.000000000,2579.9072280201126,3685.237813464001,-6222.289670514681,-3.291703306571438,6.019678446748756,2.2004211003887364
22 Jul 2025 00:25:30.000000000,2378.421163947784,4040.387981011765,-6080.474119717147,-3.4227244837694912,5.8155329149967745,2.5255150568893487
22 Jul 2025 00:26:30.000000000,2169.3972630229714,4382.7331054984015,-5919.387960923482,-3.542898154587527,5.592956443011094,2.8426049976354117
22 Jul 2025 00:27:30.000000000,1953.4979764915422,4711.188205956455,-5739.541718174834,-3.6518434573270366,5.352654433669168,3.1506859819220865
22 Jul 2025 00:28:30.000000000,1731.4075454892245,5024.712322526441,-5541.505371110181,-3.7492151159156646,5.095388466698423,3.4487816207766757
22 Jul 2025 00:29:02.000000000,1610.6701305487052,5185.474986512679,-5428.6626977165015,-3.7963062731134642,4.951523008683009,3.6033554993898336
