# Satellite Name: OBS_010
# Target Name: HGV_00003
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 18
# ---------------------------------------------
Time (UTCG),Observer,Target,Frame,ux,uy,uz
22 Jul 2025 00:00:00.000000000,OBS_010,HGV_00003,icrf,0.17226696530468852,0.6501735821764545,0.7399989227725609
22 Jul 2025 00:01:00.000000000,OBS_010,HGV_00003,icrf,0.13712534021880965,0.639917603701386,0.756109847537348
22 Jul 2025 00:02:00.000000000,OBS_010,HGV_00003,icrf,0.10121505021307482,0.6284495498116734,0.7712371081268522
22 Jul 2025 00:03:00.000000000,OBS_010,HGV_00003,icrf,0.06465430962687053,0.6158834542935822,0.7851798462607645
22 Jul 2025 00:04:00.000000000,OBS_010,HGV_00003,icrf,0.029986694581125108,0.6046295171600639,0.7959421744868695
22 Jul 2025 00:05:00.000000000,OBS_010,HGV_00003,icrf,-0.005111277106034223,0.5926433986811331,0.8054487425317771
22 Jul 2025 00:06:00.000000000,OBS_010,HGV_00003,icrf,-0.041050527189503846,0.5795520918557926,0.8139006247958277
22 Jul 2025 00:07:00.000000000,OBS_010,HGV_00003,icrf,-0.07763624811123696,0.5654831326682085,0.821097704080921
22 Jul 2025 00:08:00.000000000,OBS_010,HGV_00003,icrf,-0.11250460884800094,0.5525411301394285,0.8258577434959374
22 Jul 2025 00:09:00.000000000,OBS_010,HGV_00003,icrf,-0.1476376432048975,0.5392544210141406,0.8291005944549839
22 Jul 2025 00:10:00.000000000,OBS_010,HGV_00003,icrf,-0.18316777718127225,0.5254311666505752,0.830886065904759
22 Jul 2025 00:11:00.000000000,OBS_010,HGV_00003,icrf,-0.21719518883167735,0.5129263714630042,0.8305015276362641
22 Jul 2025 00:12:00.000000000,OBS_010,HGV_00003,icrf,-0.2509468664758506,0.5007637150152694,0.8284089400350877
22 Jul 2025 00:13:00.000000000,OBS_010,HGV_00003,icrf,-0.28464269981590207,0.48860476821388615,0.8247690064012885
22 Jul 2025 00:14:00.000000000,OBS_010,HGV_00003,icrf,-0.31712209279327236,0.47752516569807624,0.8193920272906247
22 Jul 2025 00:15:00.000000000,OBS_010,HGV_00003,icrf,-0.3490656648701755,0.4670776579458242,0.8123986847949632
22 Jul 2025 00:16:00.000000000,OBS_010,HGV_00003,icrf,-0.38049284586466814,0.45710380265323003,0.8039162318586203
22 Jul 2025 00:16:41.000000000,OBS_010,HGV_00003,icrf,-0.40147436930118363,0.4507271527367559,0.7972849958327535
