# Satellite Name: OBS_002
# Target Name: HGV_00001
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 26
# ---------------------------------------------
Time (UTCG),Observer,Target,Frame,ux,uy,uz
22 Jul 2025 00:00:00.000000000,OBS_002,HGV_00001,icrf,-0.8194979546346736,0.5729267899948741,0.013341501255695274
22 Jul 2025 00:01:00.000000000,OBS_002,HGV_00001,icrf,-0.8387954208834717,0.5442483434325465,-0.014696345663076052
22 Jul 2025 00:02:00.000000000,OBS_002,HGV_00001,icrf,-0.860056480107869,0.5078895267705595,-0.048487932738364416
22 Jul 2025 00:03:00.000000000,OBS_002,HGV_00001,icrf,-0.8791542905520634,0.4688168749294295,-0.08543109027340134
22 Jul 2025 00:04:00.000000000,OBS_002,HGV_00001,icrf,-0.888850833244921,0.4416770439479019,-0.1219245056961604
22 Jul 2025 00:05:00.000000000,OBS_002,HGV_00001,icrf,-0.8985298659258584,0.4056578010668666,-0.16758827068996707
22 Jul 2025 00:06:00.000000000,OBS_002,HGV_00001,icrf,-0.9066535527970098,0.3569833181313215,-0.22481602651170488
22 Jul 2025 00:07:00.000000000,OBS_002,HGV_00001,icrf,-0.909394931222592,0.2942732813430394,-0.29394573471009516
22 Jul 2025 00:08:00.000000000,OBS_002,HGV_00001,icrf,-0.898408008181399,0.24330383601907776,-0.36560401285261246
22 Jul 2025 00:09:00.000000000,OBS_002,HGV_00001,icrf,-0.8725194561068877,0.17576465162468038,-0.4558690447422325
22 Jul 2025 00:10:00.000000000,OBS_002,HGV_00001,icrf,-0.8202195620490338,0.08086492295391204,-0.5663044536887812
22 Jul 2025 00:11:00.000000000,OBS_002,HGV_00001,icrf,-0.7277698611023717,-0.02575177981346771,-0.685337781759822
22 Jul 2025 00:12:00.000000000,OBS_002,HGV_00001,icrf,-0.5743750706116244,-0.13966171401079502,-0.8065902825471297
22 Jul 2025 00:13:00.000000000,OBS_002,HGV_00001,icrf,-0.3488199844272765,-0.26858226505362776,-0.8978798279072859
22 Jul 2025 00:14:00.000000000,OBS_002,HGV_00001,icrf,-0.07715276605356125,-0.37354867634086353,-0.924396471809728
22 Jul 2025 00:15:00.000000000,OBS_002,HGV_00001,icrf,0.19697874559550008,-0.4294904784864045,-0.8813270123360243
22 Jul 2025 00:16:00.000000000,OBS_002,HGV_00001,icrf,0.4151771851405062,-0.44838494750784363,-0.7915673337039587
22 Jul 2025 00:17:00.000000000,OBS_002,HGV_00001,icrf,0.5809300792365593,-0.4368536421707564,-0.6867890057072477
22 Jul 2025 00:18:00.000000000,OBS_002,HGV_00001,icrf,0.7000432339595879,-0.4084377840281911,-0.5857627908680634
22 Jul 2025 00:19:00.000000000,OBS_002,HGV_00001,icrf,0.7814818925241893,-0.3767859716406796,-0.4973111533352137
22 Jul 2025 00:20:00.000000000,OBS_002,HGV_00001,icrf,0.842447088904977,-0.3409297094567542,-0.41719280387521396
22 Jul 2025 00:21:00.000000000,OBS_002,HGV_00001,icrf,0.8866458821027279,-0.30489408937118984,-0.3477048662541099
22 Jul 2025 00:22:00.000000000,OBS_002,HGV_00001,icrf,0.919145315389922,-0.2705080132552027,-0.28635171373938706
22 Jul 2025 00:23:00.000000000,OBS_002,HGV_00001,icrf,0.943860395356129,-0.23651272362367487,-0.2306280244078829
22 Jul 2025 00:24:00.000000000,OBS_002,HGV_00001,icrf,0.9621305820051599,-0.2043333810488373,-0.18042342575054637
22 Jul 2025 00:24:17.000000000,OBS_002,HGV_00001,icrf,0.9664089711571044,-0.19546822788111087,-0.16687082535927317
