# Satellite Name: OBS_120
# Target Name: HGV_00002
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 30
# ---------------------------------------------
Time (UTCG),Observer,Target,Frame,ux,uy,uz
22 Jul 2025 00:00:00.000000000,OBS_120,HGV_00002,icrf,-0.42156483337088785,0.7852337807945885,-0.45353169763977014
22 Jul 2025 00:01:00.000000000,OBS_120,HGV_00002,icrf,-0.42984485286151364,0.7659790275558175,-0.47802670617143117
22 Jul 2025 00:02:00.000000000,OBS_120,HGV_00002,icrf,-0.44038614498124357,0.7402838745454033,-0.5079762084946545
22 Jul 2025 00:03:00.000000000,OBS_120,HGV_00002,icrf,-0.452482770857208,0.7063295095360942,-0.5443876982775088
22 Jul 2025 00:04:00.000000000,OBS_120,HGV_00002,icrf,-0.44610137742145967,0.678287110695014,-0.5838836840738797
22 Jul 2025 00:05:00.000000000,OBS_120,HGV_00002,icrf,-0.4335916588164693,0.6399919606497902,-0.6343568110365173
22 Jul 2025 00:06:00.000000000,OBS_120,HGV_00002,icrf,-0.4153749358102508,0.5809329032273106,-0.6999861603264155
22 Jul 2025 00:07:00.000000000,OBS_120,HGV_00002,icrf,-0.38589190170465104,0.4869071672971372,-0.7835871684971911
22 Jul 2025 00:08:00.000000000,OBS_120,HGV_00002,icrf,-0.32231623580264296,0.3472284798530839,-0.8806501160602499
22 Jul 2025 00:09:00.000000000,OBS_120,HGV_00002,icrf,-0.18114038108599864,0.1522750003127606,-0.9715968745419923
22 Jul 2025 00:10:00.000000000,OBS_120,HGV_00002,icrf,0.028955041563952524,-0.13290048145465905,-0.9907063478130891
22 Jul 2025 00:11:00.000000000,OBS_120,HGV_00002,icrf,0.2512324216331311,-0.427630715411984,-0.8683399343325097
22 Jul 2025 00:12:00.000000000,OBS_120,HGV_00002,icrf,0.4342964108078461,-0.613697715326079,-0.6593646500707886
22 Jul 2025 00:13:00.000000000,OBS_120,HGV_00002,icrf,0.551071625722022,-0.6952144191726259,-0.4615159528104702
22 Jul 2025 00:14:00.000000000,OBS_120,HGV_00002,icrf,0.6103438000991954,-0.7273056567506571,-0.3138581325041119
22 Jul 2025 00:15:00.000000000,OBS_120,HGV_00002,icrf,0.6492027351961758,-0.7327479456964859,-0.20400062914457778
22 Jul 2025 00:16:00.000000000,OBS_120,HGV_00002,icrf,0.6822822550613271,-0.7213838429211877,-0.11872773728446673
22 Jul 2025 00:17:00.000000000,OBS_120,HGV_00002,icrf,0.7036532223580415,-0.7083382472940685,-0.05593809154334458
22 Jul 2025 00:18:00.000000000,OBS_120,HGV_00002,icrf,0.7231172903869572,-0.6907107208977383,-0.004481560035444739
22 Jul 2025 00:19:00.000000000,OBS_120,HGV_00002,icrf,0.7418238233811918,-0.6694532104936132,0.03911283707306649
22 Jul 2025 00:20:00.000000000,OBS_120,HGV_00002,icrf,0.7568925886260384,-0.6492832716592487,0.07446369871579633
22 Jul 2025 00:21:00.000000000,OBS_120,HGV_00002,icrf,0.7723738938090297,-0.6260381986191684,0.10730676601195481
22 Jul 2025 00:22:00.000000000,OBS_120,HGV_00002,icrf,0.7864246718159829,-0.6023553037144285,0.1367637512143569
22 Jul 2025 00:23:00.000000000,OBS_120,HGV_00002,icrf,0.7989801752945225,-0.5787018432334917,0.16350796960544003
22 Jul 2025 00:24:00.000000000,OBS_120,HGV_00002,icrf,0.8107552648614453,-0.5535613850236736,0.19038301791420295
22 Jul 2025 00:25:00.000000000,OBS_120,HGV_00002,icrf,0.8208320784295575,-0.528537874948191,0.21652347162897376
22 Jul 2025 00:26:00.000000000,OBS_120,HGV_00002,icrf,0.8291569918733452,-0.5035049473938639,0.2428609700578665
22 Jul 2025 00:27:00.000000000,OBS_120,HGV_00002,icrf,0.8352067460226603,-0.4788977943652131,0.270345323522293
22 Jul 2025 00:28:00.000000000,OBS_120,HGV_00002,icrf,0.8387772640104859,-0.4553901413294558,0.29845019778687043
22 Jul 2025 00:28:32.000000000,OBS_120,HGV_00002,icrf,0.8396066433565181,-0.44341064879903413,0.31376373430213395
