# Satellite Name: OBS_101
# Target Name: HGV_00005
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 25
# ---------------------------------------------
Time (UTCG),Observer,Target,Frame,ux,uy,uz
22 Jul 2025 00:00:00.000000000,OBS_101,HGV_00005,icrf,0.27235727212028843,0.0425649233642751,-0.9612542554507566
22 Jul 2025 00:01:00.000000000,OBS_101,HGV_00005,icrf,0.388940795908109,-0.15920798316262202,-0.9074017166479558
22 Jul 2025 00:02:00.000000000,OBS_101,HGV_00005,icrf,0.49891210684195253,-0.4017366003216932,-0.7679156292253025
22 Jul 2025 00:03:00.000000000,OBS_101,HGV_00005,icrf,0.5791998210094086,-0.6116980906835298,-0.5388441455530469
22 Jul 2025 00:04:00.000000000,OBS_101,HGV_00005,icrf,0.6290614067534639,-0.7232338025323433,-0.2849817773261306
22 Jul 2025 00:05:00.000000000,OBS_101,HGV_00005,icrf,0.6309958259900503,-0.7721166682527677,-0.0753665588267081
22 Jul 2025 00:06:00.000000000,OBS_101,HGV_00005,icrf,0.6114764622435146,-0.7873746353630534,0.07834360030694495
22 Jul 2025 00:07:00.000000000,OBS_101,HGV_00005,icrf,0.590910221586489,-0.7840455216649609,0.1899940261737877
22 Jul 2025 00:08:00.000000000,OBS_101,HGV_00005,icrf,0.5856287847304272,-0.7623104495543159,0.27553893553445324
22 Jul 2025 00:09:00.000000000,OBS_101,HGV_00005,icrf,0.5783472208107775,-0.7422793347657639,0.33843150172545255
22 Jul 2025 00:10:00.000000000,OBS_101,HGV_00005,icrf,0.5704324106792511,-0.7250740121836846,0.3858426385231574
22 Jul 2025 00:11:00.000000000,OBS_101,HGV_00005,icrf,0.5706421916971265,-0.7021403959561981,0.4258712873880712
22 Jul 2025 00:12:00.000000000,OBS_101,HGV_00005,icrf,0.5729355593647768,-0.6793034729530059,0.4585756605505304
22 Jul 2025 00:13:00.000000000,OBS_101,HGV_00005,icrf,0.574444022220888,-0.6594677103940958,0.48488803272740905
22 Jul 2025 00:14:00.000000000,OBS_101,HGV_00005,icrf,0.5798738281669094,-0.6362157595010459,0.5088966995074352
22 Jul 2025 00:15:00.000000000,OBS_101,HGV_00005,icrf,0.5861051018688341,-0.6128341220088747,0.5300142908119888
22 Jul 2025 00:16:00.000000000,OBS_101,HGV_00005,icrf,0.5921645222164157,-0.5904537598822426,0.5483662426418381
22 Jul 2025 00:17:00.000000000,OBS_101,HGV_00005,icrf,0.5997647199617971,-0.5650893496212634,0.5665300588969346
22 Jul 2025 00:18:00.000000000,OBS_101,HGV_00005,icrf,0.6069168630231457,-0.5397003834247843,0.5834170185290148
22 Jul 2025 00:19:00.000000000,OBS_101,HGV_00005,icrf,0.6137336623812041,-0.5136484576222397,0.5995800644137933
22 Jul 2025 00:20:00.000000000,OBS_101,HGV_00005,icrf,0.6198191876319777,-0.4855989944882188,0.6164558306928942
22 Jul 2025 00:21:00.000000000,OBS_101,HGV_00005,icrf,0.624534962747938,-0.4571342114889283,0.6332332848104459
22 Jul 2025 00:22:00.000000000,OBS_101,HGV_00005,icrf,0.6275530841552819,-0.4277276218614484,0.6505583817490508
22 Jul 2025 00:23:00.000000000,OBS_101,HGV_00005,icrf,0.6283402621992,-0.3979779202747768,0.6684325619486261
22 Jul 2025 00:23:54.000000000,OBS_101,HGV_00005,icrf,0.6272608698938695,-0.371444438477558,0.6845237981429702
