# Satellite Name: Multiple
# Target Name: HGV_00003
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 0
# Number of Records: 177
# ---------------------------------------------
Strand Name,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
OBS_001 to HGV_00003,22 Jul 2025 00:09:20.226610865,22 Jul 2025 00:16:40.991182000,440.76457113534696
OBS_002 to HGV_00003,21 Jul 2025 23:59:59.983466000,22 Jul 2025 00:16:40.993732000,1001.0102659999999
OBS_003 to HGV_00003,21 Jul 2025 23:59:59.989479000,22 Jul 2025 00:15:50.391170021,950.4016910206275
OBS_004 to HGV_00003,21 Jul 2025 23:59:59.985184000,22 Jul 2025 00:05:44.094845922,344.1096619219737
OBS_021 to HGV_00003,22 Jul 2025 00:15:58.752940394,22 Jul 2025 00:16:40.984827000,42.23188660563551
OBS_022 to HGV_00003,21 Jul 2025 23:59:59.983977000,22 Jul 2025 00:16:40.992882000,1001.008905
OBS_023 to HGV_00003,21 Jul 2025 23:59:59.994469000,22 Jul 2025 00:16:40.987565000,1000.9930959999999
OBS_024 to HGV_00003,21 Jul 2025 23:59:59.990129000,22 Jul 2025 00:09:54.893144782,594.9030157820533
OBS_031 to HGV_00003,21 Jul 2025 23:59:59.986756000,22 Jul 2025 00:16:40.986660000,1000.999904
OBS_032 to HGV_00003,21 Jul 2025 23:59:59.989688000,22 Jul 2025 00:13:41.592698346,821.6030103458387
OBS_033 to HGV_00003,21 Jul 2025 23:59:59.982394000,22 Jul 2025 00:01:07.556552457,67.57415845661069
OBS_073 to HGV_00003,21 Jul 2025 23:59:59.983130000,22 Jul 2025 00:01:00.762868260,60.77973826020211
OBS_082 to HGV_00003,22 Jul 2025 00:09:55.047939473,22 Jul 2025 00:15:00.378882080,305.33094260684254
OBS_083 to HGV_00003,22 Jul 2025 00:03:37.629532187,22 Jul 2025 00:09:20.603575257,342.97404307024703
OBS_084 to HGV_00003,21 Jul 2025 23:59:59.984359000,22 Jul 2025 00:05:05.602707542,305.61834854200964
OBS_090 to HGV_00003,22 Jul 2025 00:09:43.006786955,22 Jul 2025 00:16:40.990567000,417.983780044947
OBS_091 to HGV_00003,22 Jul 2025 00:03:20.755060174,22 Jul 2025 00:16:40.987798000,800.2327378257014
OBS_092 to HGV_00003,21 Jul 2025 23:59:59.987898000,22 Jul 2025 00:12:35.605586571,755.6176885705637
OBS_093 to HGV_00003,21 Jul 2025 23:59:59.994706000,22 Jul 2025 00:06:37.959226297,397.9645202972854
OBS_094 to HGV_00003,21 Jul 2025 23:59:59.985743000,22 Jul 2025 00:01:41.549886536,101.56414353641343
OBS_098 to HGV_00003,22 Jul 2025 00:12:55.520540137,22 Jul 2025 00:16:40.988573000,225.46803286309603
OBS_099 to HGV_00003,22 Jul 2025 00:05:14.231817118,22 Jul 2025 00:16:40.995044000,686.7632268816712
OBS_100 to HGV_00003,21 Jul 2025 23:59:59.983460000,22 Jul 2025 00:16:40.985542000,1001.0020819999999
OBS_101 to HGV_00003,21 Jul 2025 23:59:59.991938000,22 Jul 2025 00:10:06.250117216,606.2581792155358
OBS_102 to HGV_00003,21 Jul 2025 23:59:59.988161000,22 Jul 2025 00:03:17.179248045,197.19108704521386
OBS_109 to HGV_00003,21 Jul 2025 23:59:59.987502000,22 Jul 2025 00:12:45.483979645,765.4964776446968
OBS_110 to HGV_00003,21 Jul 2025 23:59:59.984932000,22 Jul 2025 00:02:51.597673665,171.6127416646317
OBS_118 to HGV_00003,22 Jul 2025 00:16:39.477990161,22 Jul 2025 00:16:40.984225000,1.506234838585442
OBS_119 to HGV_00003,22 Jul 2025 00:07:35.543809763,22 Jul 2025 00:16:40.994514000,545.4507042365074
OBS_120 to HGV_00003,22 Jul 2025 00:00:07.907224273,22 Jul 2025 00:16:40.989983000,993.0827587267767
